row_id,content_id,title,content_type,genre,original_language,release_date,report_month,country,region,available_globally,subscription_tier,primary_device,runtime_minutes,season_count,episode_count,views,hours_viewed,completion_rate,user_rating,estimated_revenue_usd,title_age_months
2,SW0053,Golden Kingdom,Series,Comedy,Hindi,2024-01-26,2025-01-01,United States,North America,False,Ad-Supported,Smart Tv,49,4,9,33105,213707,0.878,6.9,564.46,12
4,SW0078,Second Echo,Movie,Drama,Hindi,2024-09-14,2025-04-01,Brazil,Latin America,True,Ad-Supported,Mobile,94,0,1,31943,36615,0.732,6.6,572.67,7
5,SW0003,Hidden Crown,Series,Documentary,English,2025-01-23,2026-04-01,Nigeria,Africa,True,Ad-Supported,Smart Tv,36,4,11,4408,16082,0.553,7.0,78.31,15
6,SW0152,Infinite Summer,Series,Romance,English,2025-01-20,2025-04-01,Canada,North America,False,Ad-Supported,Smart Tv,42,3,10,126165,681884,0.772,6.3,2089.86,3
8,SW0092,Crimson Promise,Series,Romance,English,2025-06-17,2025-08-01,India,Asia,False,Ad-Supported,Game Console,27,1,12,69342,278024,0.742,7.3,1292.24,2
9,SW0138,Midnight Kingdom 138,Movie,Action,English,2025-05-09,2025-09-01,United States,North America,True,Premium,Mobile,108,0,1,128703,124790,0.539,5.9,2130.68,4
10,SW0007,Broken Witness,Series,Thriller,Korean,2023-03-06,2025-12-01,India,Asia,False,Ad-Supported,Web,35,1,8,10321,36584,0.76,5.8,192.69,33
11,SW0172,Last Fire 172,Series,Animation,Korean,2022-12-27,2025-11-01,United States,North America,False,Standard,Smart Tv,39,2,8,57740,245658,0.818,8.0,693.18,35
12,SW0084,Last Promise,Movie,Documentary,Korean,2023-08-20,2025-06-01,France,Europe,True,Premium,Smart Tv,99,0,1,10998,14553,0.802,7.5,169.38,22
13,SW0155,Midnight Echo 155,Movie,Crime,English,2025-12-15,2026-02-01,United Kingdom,Europe,True,Ad-Supported,Mobile,144,0,1,77420,155745,0.838,5.9,1279.18,2
14,SW0021,Midnight Echo,Movie,Documentary,Korean,2025-03-08,2025-05-01,India,Asia,True,Premium,Tablet,137,0,1,181652,398181,0.96,7.6,2984.87,2
15,SW0057,Broken Fire,Movie,Crime,English,2022-12-03,2025-05-01,Canada,North America,True,Ad-Supported,Smart Tv,114,0,1,86850,155266,0.941,6.8,1476.75,29
16,SW0118,Wild Summer,Movie,Drama,English,2023-09-21,2025-12-01,United States,North America,True,Standard,Web,90,0,1,23278,32827,0.94,7.4,266.28,27
17,SW0180,Second Summer 180,Movie,Comedy,English,2025-04-08,2025-11-01,Brazil,Latin America,False,Standard,Web,138,0,1,36015,69045,0.834,6.7,426.9,7
19,SW0102,Hidden Pulse 102,Movie,Drama,Japanese,2023-10-10,2025-12-01,Brazil,Latin America,True,Ad-Supported,Smart Tv,87,0,1,8097,8386,0.714,6.9,157.07,26
20,SW0107,Last Signal 107,Series,Drama,English,2024-08-29,2026-06-01,India,Asia,True,Standard,Smart Tv,25,2,8,30376,72339,0.714,6.4,329.41,22
21,SW0098,Last Summer,Series,Animation,English,2023-11-06,2026-04-01,Brazil,Latin America,True,Standard,Mobile,61,4,7,18484,103180,0.784,6.0,219.32,29
